statistic,player,team,value,year
Slugging Average,Albert Belle,Chicago,.655,1998
Stolen Bases,Rickey Henderson,Oakland,66,1998
Total Bases,Albert Belle,Chicago,399,1998
Triples,Jose Offerman,Kansas City,13,1998
Complete Games,Scott Erickson,Baltimore,11,1998
ERA,Roger Clemens,Toronto,2.65,1998
Games,Sean Runyan,Detroit,88,1998
Saves,Tom Gordon,Boston,46,1998
Shutouts,David Wells,New York,5,1998
Strikeouts,Roger Clemens,Toronto,271,1998
Winning Percentage,David Wells,New York,.818,1998
Wins,Roger Clemens,Toronto,20,1998
Wins,David Cone,New York,20,1998
Wins,Rick Helling,Texas,20,1998
Base on Balls,Jim Thome,Cleveland,127,1999
Batting Average,Nomar Garciaparra,Boston,.357,1999
Doubles,Shawn Green,Toronto,45,1999
Hits,Derek Jeter,New York,219,1999
Home Runs,"Ken Griffey, Jr.",Seattle,48,1999
On Base Percentage,Edgar Martinez,Seattle,.447,1999
RBI,Manny Ramirez,Cleveland,165,1999
Runs,Roberto Alomar,Cleveland,138,1999
Slugging Average,Manny Ramirez,Cleveland,.663,1999
Stolen Bases,Brian Hunter,Seattle,44,1999
Total Bases,Shawn Green,Toronto,361,1999
Triples,Jose Offerman,Boston,11,1999
Complete Games,David Wells,Toronto,7,1999
ERA,Pedro Martinez,Boston,2.07,1999
Games,Buddy Groom,Oakland,76,1999
Games,Bob Wells,Minnesota,76,1999
Saves,Mariano Rivera,New York,45,1999
Shutouts,Scott Erickson,Baltimore,3,1999
Strikeouts,Pedro Martinez,Boston,313,1999
Winning Percentage,Pedro Martinez,Boston,.852,1999
Wins,Pedro Martinez,Boston,23,1999
Base on Balls,Jason Giambi,Oakland,137,2000
Batting Average,Nomar Garciaparra,Boston,.372,2000
Doubles,Carlos Delgado,Toronto,57,2000
Hits,Darin Erstad,Anaheim,240,2000
Home Runs,Troy Glaus,Anaheim,47,2000
On Base Percentage,Jason Giambi,Oakland,.476,2000
RBI,Edgar Martinez,Seattle,145,2000
Runs,Johnny Damon,Kansas City,136,2000
Slugging Average,Manny Ramirez,Cleveland,.697,2000
Stolen Bases,Johnny Damon,Kansas City,46,2000
Total Bases,Carlos Delgado,Toronto,378,2000
Triples,Cristian Guzman,Minnesota,20,2000
Complete Games,David Wells,Toronto,9,2000
ERA,Pedro Martinez,Boston,1.74,2000
Games,Kelly Wunsch,Chicago,83,2000
Saves,Todd Jones,Detroit,42,2000
Saves,Derek Lowe,Boston,42,2000
Shutouts,Pedro Martinez,Boston,4,2000
Strikeouts,Pedro Martinez,Boston,284,2000
Winning Percentage,Tim Hudson,Oakland,.769,2000
Wins,Tim Hudson,Oakland,20,2000
Wins,David Wells,Toronto,20,2000
Base on Balls,Jason Giambi,Oakland,129,2001
Batting Average,Ichiro Suzuki,Seattle,.350,2001
Doubles,Jason Giambi,Oakland,47,2001
Hits,Ichiro Suzuki,Seattle,242,2001
Home Runs,Alex Rodriguez,Texas,52,2001
On Base Percentage,Jason Giambi,Oakland,.477,2001
RBI,Bret Boone,Seattle,141,2001
Runs,Alex Rodriguez,Texas,133,2001
Slugging Average,Jason Giambi,Oakland,.660,2001
Stolen Bases,Ichiro Suzuki,Seattle,56,2001
Total Bases,Alex Rodriguez,Texas,393,2001
Triples,Cristian Guzman,Minnesota,14,2001
Complete Games,Steve Sparks,Detroit,8,2001
ERA,Freddy Garcia,Seattle,3.05,2001
Games,Paul Quantrill,Toronto,80,2001
Saves,Mariano Rivera,New York,50,2001
Shutouts,Mark Mulder,Oakland,4,2001
Strikeouts,Hideo Nomo,Boston,220,2001
Winning Percentage,Roger Clemens,New York,.870,2001
Wins,Mark Mulder,Oakland,21,2001
Base on Balls,Jim Thome,Cleveland,122,2002
Batting Average,Manny Ramirez,Boston,.349,2002
Doubles,Garret Anderson,Anaheim,56,2002
Doubles,Nomar Garciaparra,Boston,56,2002
Hits,Alfonso Soriano,New York,209,2002
Home Runs,Alex Rodriguez,Texas,57,2002
On Base Percentage,Manny Ramirez,Boston,.450,2002
RBI,Alex Rodriguez,Texas,142,2002
Runs,Alfonso Soriano,New York,128,2002
Slugging Average,Jim Thome,Cleveland,.677,2002
Stolen Bases,Alfonso Soriano,New York,41,2002
Total Bases,Alex Rodriguez,Texas,389,2002
Triples,Johnny Damon,Boston,11,2002
Complete Games,Paul Byrd,Kansas City,7,2002
ERA,Pedro Martinez,Boston,2.26,2002
Games,Billy Koch,Oakland,84,2002
Saves,Eddie Guardado,Minnesota,45,2002
Shutouts,Jeff Weaver,New York,3,2002
Strikeouts,Pedro Martinez,Boston,239,2002
Winning Percentage,Pedro Martinez,Boston,.833,2002
Wins,Barry Zito,Oakland,23,2002
Base on Balls,Jason Giambi,New York,129,2003
Batting Average,Bill Mueller,Boston,.326,2003
Doubles,Garret Anderson,Anaheim,49,2003
Doubles,Vernon Wells,Toronto,49,2003
Hits,Vernon Wells,Toronto,215,2003
Home Runs,Alex Rodriguez,Texas,47,2003
On Base Percentage,Manny Ramirez,Boston,.427,2003
RBI,Carlos Delgado,Toronto,145,2003
Runs,Alex Rodriguez,Texas,124,2003
Slugging Average,Alex Rodriguez,Texas,.600,2003
Stolen Bases,Carl Crawford,Tampa Bay,55,2003
Total Bases,Vernon Wells,Toronto,373,2003
Triples,Cristian Guzman,Minnesota,14,2003
Complete Games,Bartolo Colon,Chicago,9,2003
Complete Games,Roy Halladay,Toronto,9,2003
Complete Games,Mark Mulder,Oakland,9,2003
ERA,Pedro Martinez,Boston,2.22,2003
Games,Trever Miller,Toronto,79,2003
Saves,Keith Foulke,Oakland,43,2003
Shutouts,Roy Halladay,Toronto,2,2003
Shutouts,Tim Hudson,Oakland,2,2003
Shutouts,John Lackey,Anaheim,2,2003
Shutouts,Mark Mulder,Oakland,2,2003
Shutouts,Joel Pineiro,Seattle,2,2003
Strikeouts,Esteban Loaiza,Chicago,207,2003
Winning Percentage,Roy Halladay,Toronto,.759,2003
Wins,Roy Halladay,Toronto,22,2003
Base on Balls,Eric Chavez,Oakland,95,2004
Batting Average,Ichiro Suzuki,Seattle,.372,2004
Doubles,Brian Roberts,Baltimore,50,2004
Hits,Ichiro Suzuki,Seattle,262,2004
Home Runs,Manny Ramirez,Boston,43,2004
On Base Percentage,Melvin Mora,Baltimore,.419,2004
RBI,Miguel Tejada,Baltimore,150,2004
Runs,Vladimir Guerrero,Anaheim,124,2004
Slugging Average,Manny Ramirez,Boston,.613,2004
Stolen Bases,Carl Crawford,Tampa Bay,59,2004
Total Bases,Vladimir Guerrero,Anaheim,366,2004
