statistic,player,team,value,year
East,Boston Red Sox,54,61,1994
East,Detroit Tigers,53,62,1994
Central,Team [Click for roster],Wins,Losses,1994
Central,Chicago White Sox,67,46,1994
Central,Cleveland Indians,66,47,1994
Central,Kansas City Royals,64,51,1994
Central,Minnesota Twins,53,60,1994
Central,Milwaukee Brewers,53,62,1994
West,Team [Click for roster],Wins,Losses,1994
West,Texas Rangers,52,62,1994
West,Oakland Athletics,51,63,1994
West,Seattle Mariners,49,63,1994
West,California Angels,47,68,1994
American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,1994
1995 American League Player Review ← 1994 | 1995 Hitting Statistics League Leaders | 1996 →,1995 American League Player Review ← 1994 | 1995 Hitting Statistics League Leaders | 1996 →,1995 American League Player Review ← 1994 | 1995 Hitting Statistics League Leaders | 1996 →,1995 American League Player Review ← 1994 | 1995 Hitting Statistics League Leaders | 1996 →,1995
Statistic,Name,Team,#,1995
Base on Balls,Frank Thomas,Chicago,136,1995
Batting Average,Edgar Martinez,Seattle,.356,1995
Doubles,Albert Belle,Cleveland,52,1995
Doubles,Edgar Martinez,Seattle,52,1995
Hits,Lance Johnson,Chicago,186,1995
Home Runs,Albert Belle,Cleveland,50,1995
On Base Percentage,Edgar Martinez,Seattle,.482,1995
RBI,Albert Belle,Cleveland,126,1995
RBI,Mo Vaughn,Boston,126,1995
Runs,Albert Belle,Cleveland,121,1995
Runs,Edgar Martinez,Seattle,121,1995
Slugging Average,Albert Belle,Cleveland,.690,1995
Stolen Bases,Kenny Lofton,Cleveland,54,1995
Total Bases,Albert Belle,Cleveland,377,1995
Triples,Kenny Lofton,Cleveland,13,1995
Statistic,Name,Team,#,1995
1995 American League Pitcher Review ← 1994 | 1995 Pitching Statistics League Leaders | 1996 →,1995 American League Pitcher Review ← 1994 | 1995 Pitching Statistics League Leaders | 1996 →,1995 American League Pitcher Review ← 1994 | 1995 Pitching Statistics League Leaders | 1996 →,1995 American League Pitcher Review ← 1994 | 1995 Pitching Statistics League Leaders | 1996 →,1995
Statistic,Name,Team,#,1995
Complete Games,Jack McDowell,New York,8,1995
ERA,Randy Johnson,Seattle,2.48,1995
Games,Jesse Orosco,Baltimore,65,1995
Saves,Jose Mesa,Cleveland,46,1995
Shutouts,Mike Mussina,Baltimore,4,1995
Strikeouts,Randy Johnson,Seattle,294,1995
Winning Percentage,Randy Johnson,Seattle,.900,1995
Wins,Mike Mussina,Baltimore,19,1995
Statistic,Name,Team,#,1995
1995 American League Team Standings,1995 American League Team Standings,1995 American League Team Standings,1995 American League Team Standings,1995
East,Team [Click for roster],Wins,Losses,1995
East,Boston Red Sox,86,58,1995
East,New York Yankees,79,65,1995
East,Baltimore Orioles,71,73,1995
East,Detroit Tigers,60,84,1995
East,Toronto Blue Jays,56,88,1995
Central,Team [Click for roster],Wins,Losses,1995
Central,Cleveland Indians,100,44,1995
Central,Kansas City Royals,70,74,1995
Central,Chicago White Sox,68,76,1995
Central,Milwaukee Brewers,65,79,1995
Central,Minnesota Twins,56,88,1995
West,Team [Click for roster],Wins,Losses,1995
West,Seattle Mariners,79,66,1995
West,California Angels,78,67,1995
West,Texas Rangers,74,70,1995
West,Oakland Athletics,67,77,1995
American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,1995
1996 American League Player Review ← 1995 | 1996 Hitting Statistics League Leaders | 1997 →,1996 American League Player Review ← 1995 | 1996 Hitting Statistics League Leaders | 1997 →,1996 American League Player Review ← 1995 | 1996 Hitting Statistics League Leaders | 1997 →,1996 American League Player Review ← 1995 | 1996 Hitting Statistics League Leaders | 1997 →,1996
Statistic,Name,Team,#,1996
Base on Balls,Tony Phillips,Chicago,125,1996
Batting Average,Alex Rodriguez,Seattle,.358,1996
Doubles,Alex Rodriguez,Seattle,54,1996
Hits,Paul Molitor,Minnesota,225,1996
Home Runs,Mark McGwire,Oakland,52,1996
On Base Percentage,Mark McGwire,Oakland,.468,1996
RBI,Albert Belle,Cleveland,148,1996
Runs,Alex Rodriguez,Seattle,141,1996
Slugging Average,Mark McGwire,Oakland,.730,1996
Stolen Bases,Kenny Lofton,Cleveland,75,1996
Total Bases,Alex Rodriguez,Seattle,379,1996
Triples,Chuck Knoblauch,Minnesota,14,1996
Statistic,Name,Team,#,1996
1996 American League Pitcher Review ← 1995 | 1996 Pitching Statistics League Leaders | 1997 →,1996 American League Pitcher Review ← 1995 | 1996 Pitching Statistics League Leaders | 1997 →,1996 American League Pitcher Review ← 1995 | 1996 Pitching Statistics League Leaders | 1997 →,1996 American League Pitcher Review ← 1995 | 1996 Pitching Statistics League Leaders | 1997 →,1996
Statistic,Name,Team,#,1996
Complete Games,Pat Hentgen,Toronto,10,1996
ERA,Juan Guzman,Toronto,2.93,1996
Games,Eddie Guardado,Minnesota,83,1996
Games,Mike Myers,Detroit,83,1996
Saves,John Wetteland,New York,43,1996
Shutouts,Pat Hentgen,Toronto,3,1996
Shutouts,Ken Hill,Texas,3,1996
Shutouts,Rich Robertson,Minnesota,3,1996
Strikeouts,Roger Clemens,Boston,257,1996
Winning Percentage,Charles Nagy,Cleveland,.773,1996
Wins,Andy Pettitte,New York,21,1996
Statistic,Name,Team,#,1996
1996 American League Team Standings,1996 American League Team Standings,1996 American League Team Standings,1996 American League Team Standings,1996
East,Team [Click for roster],Wins,Losses,1996
East,New York Yankees,92,70,1996
East,Baltimore Orioles,88,74,1996
East,Boston Red Sox,85,77,1996
East,Toronto Blue Jays,74,88,1996
East,Detroit Tigers,53,109,1996
Central,Team [Click for roster],Wins,Losses,1996
Central,Cleveland Indians,99,62,1996
Central,Chicago White Sox,85,77,1996
Central,Milwaukee Brewers,80,82,1996
Central,Minnesota Twins,78,84,1996
Central,Kansas City Royals,75,86,1996
West,Team [Click for roster],Wins,Losses,1996
West,Texas Rangers,90,72,1996
West,Seattle Mariners,85,76,1996
West,Oakland Athletics,78,84,1996
West,California Angels,70,91,1996
American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,1996
1997 American League Player Review ← 1996 | 1997 Hitting Statistics League Leaders | 1998 →,1997 American League Player Review ← 1996 | 1997 Hitting Statistics League Leaders | 1998 →,1997 American League Player Review ← 1996 | 1997 Hitting Statistics League Leaders | 1998 →,1997 American League Player Review ← 1996 | 1997 Hitting Statistics League Leaders | 1998 →,1997
Statistic,Name,Team,#,1997
Base on Balls,Jim Thome,Cleveland,120,1997
Batting Average,Frank Thomas,Chicago,.347,1997
Doubles,John Valentin,Boston,47,1997
Hits,Nomar Garciaparra,Boston,209,1997
Home Runs,"Ken Griffey, Jr.",Seattle,56,1997
On Base Percentage,Frank Thomas,Chicago,.461,1997
RBI,"Ken Griffey, Jr.",Seattle,147,1997
Runs,"Ken Griffey, Jr.",Seattle,125,1997
Slugging Average,"Ken Griffey, Jr.",Seattle,.646,1997
Stolen Bases,Brian Hunter,Detroit,74,1997
Total Bases,"Ken Griffey, Jr.",Seattle,393,1997
Triples,Nomar Garciaparra,Boston,11,1997
Statistic,Name,Team,#,1997
